TANGGAL;TN;TX;TAVG;RH_AVG;RR;SS
14/06/2016;25.2;32.0;27.7;87;24.595.888.418.037.100;3.4
15/06/2016;25.0;31.0;28.0;86;0.9932517730102834;3.2
16/06/2016;25.0;31.0;26.5;90;0.26236426446749106;5.1
17/06/2016;23.6;30.7;24.8;95;4.320.815.903.628.980;3.3
18/06/2016;22.5;28.2;26.3;91;5.005.287.687.769.660;1.5
19/06/2016;23.5;30.2;27.0;89;0.09531017980432487;0.0
20/06/2016;24.6;32.4;28.5;79;0.18232155679395462;0.2
21/06/2016;25.0;31.8;28.4;82;0.0;7.7
22/06/2016;25.2;31.4;26.2;89;0.0;3.0
23/06/2016;24.2;31.9;28.3;84;28.791.984.572.980.300;2.9
24/06/2016;22.8;27.5;25.3;93;3.543.853.682.063.670;2.8
25/06/2016;23.4;31.2;27.8;84;19.878.743.481.543.400;0.0
26/06/2016;24.4;30.6;28.5;82;0.0;5.6
27/06/2016;26.0;30.2;27.5;84;0.26236426446749106;3.9
28/06/2016;24.6;32.0;28.6;78;0.18232155679395462;0.0
29/06/2016;24.8;34.0;29.4;77;0.09531017980432487;7.2
30/06/2016;25.0;32.6;28.5;84;0.0;9.4
07/01/2016;25.4;33.2;29.2;80;14.816.045.409.242.100;6.3
07/02/2016;25.4;33.3;28.9;81;0.0;9.7
07/03/2016;25.6;33.2;29.4;79;0.0;9.1
07/04/2016;25.6;32.8;29.0;77;0.0;8.5
07/05/2016;24.6;33.2;29.1;80;0.0;8.0
07/06/2016;25.4;32.4;28.5;82;0.0;9.1
07/07/2016;24.8;32.8;28.7;80;0.0;3.8
07/08/2016;25.0;33.2;28.8;75;0.0;7.5
07/09/2016;24.8;32.9;28.6;77;0.0;10.3
07/10/2016;24.6;33.1;28.9;80;0.0;8.8
07/11/2016;25.1;30.2;26.8;89;0.0;9.1
07/12/2016;24.2;33.5;28.9;81;36.888.794.541.139.300;3.5
13/07/2016;24.4;32.3;26.4;90;0.26236426446749106;9.0
14/07/2016;24.6;30.6;25.5;94;2.833.213.344.056.210;3.3
15/07/2016;22.6;29.5;26.5;91;433.204.826.486.764;3.1
16/07/2016;24.6;31.7;27.8;86;34.468.078.929.142.000;4.5
17/07/2016;24.8;31.2;26.6;90;19.740.810.260.220.000;6.8
18/07/2016;24.4;31.6;27.7;83;21.633.230.256.605.300;4.9
19/07/2016;25.0;31.4;27.7;82;0.9162907318741551;4.1
20/07/2016;24.0;28.6;25.8;93;18.082.887.711.792.600;6.2
21/07/2016;23.6;30.8;27.2;86;29.496.883.350.525.800;0.2
