TANGGAL;TN;TX;TAVG;RH_AVG;RR;SS
06/06/2016;24,8;31,8;27,7;86;2,360854001;3,9
06/07/2016;25;32,8;28,9;81;2,4765384;4,5
06/08/2016;25,2;31,4;28,1;82;0;9,3
06/09/2016;25;32,2;28,4;84;0;4,5
06/10/2016;25;31;28,2;86;0;6,4
06/11/2016;25,4;31,2;26,1;90;0,382992252;3
06/12/2016;24,9;32;27,8;85;0,659245629;4,25
13/06/2016;24,4;31,6;28;86;0,875468737;5,5
14/06/2016;25,2;32;27,7;87;2,459588842;3,4
15/06/2016;25;31;28;86;0,993251773;3,2
16/06/2016;25;31;26,5;90;0,262364264;5,1
17/06/2016;23,6;30,7;24,8;95;4,320815904;3,3
18/06/2016;22,4;28,2;26,3;91;5,005287688;1,5
19/06/2016;23,5;30,2;27;89;0,09531018;0
20/06/2016;24,6;32,4;28,5;79;0,182321557;0,2
21/06/2016;25;31,8;28,4;82;0;7,7
22/06/2016;25,2;31,4;26,2;89;0;3
23/06/2016;24,2;31,9;28,3;84;2,879198457;2,9
24/06/2016;22,8;27,4;25,3;93;3,543853682;2,8
25/06/2016;23,4;31,2;27,8;84;1,987874348;0
26/06/2016;24,4;30,6;28,5;82;0;5,6
27/06/2016;26;30,2;27,5;84;0,262364264;3,9
28/06/2016;24,6;32;28,6;78;0,182321557;0
29/06/2016;24,8;33,6;29,2;77;0,09531018;7,2
30/06/2016;25;32,6;28,5;84;0;9,4
07/01/2016;25,4;33,2;29,2;80;1,481604541;6,3
07/02/2016;25,4;33,3;28,9;81;0;9,7
07/03/2016;25,6;33,2;29,2;79;0;9,1
07/04/2016;25,6;32,8;29;77;0;8,5
07/05/2016;24,6;33,2;29,1;80;0;8
07/06/2016;25,4;32,4;28,5;82;0;9,1
07/07/2016;24,8;32,8;28,7;80;0;3,8
07/08/2016;25;33,2;28,8;75;0;7,5
07/09/2016;24,8;32,9;28,6;77;0;10,3
07/10/2016;24,6;33,1;28,9;80;0;8,8
07/11/2016;25,1;30,2;26,8;89;0;9,1
07/12/2016;24,2;33,5;28,9;81;3,688879454;3,5
13/07/2016;24,4;32,3;26,4;90;0,262364264;9
14/07/2016;24,6;30,6;25,5;94;2,833213344;3,3
15/07/2016;22,6;29,5;26,5;91;4,332048265;3,1
16/07/2016;24,6;31,7;27,8;86;3,446807893;4,5
17/07/2016;24,8;31,2;26,6;90;1,974081026;6,8
18/07/2016;24,4;31,6;27,7;83;2,163323026;4,9
19/07/2016;25;31,4;27,7;82;0,916290732;4,1
20/07/2016;24;28,6;25,8;93;1,808288771;6,2
21/07/2016;23,6;30,8;27,2;86;2,949688335;0,2
22/07/2016;24,4;29,8;25,4;91;1,280933845;3,6
23/07/2016;23,4;29,8;26,5;88;1,887069649;2,5
24/07/2016;23,8;31,2;26,4;90;0,587786665;3,5
25/07/2016;24;29;26,1;91;3,96271612;4,6
26/07/2016;23,5;29,6;25,5;90;1,252762968;0,5
27/07/2016;23,2;32,2;27,9;82;1,30833282;0,9
28/07/2016;24,2;30,4;26,5;87;0;6,7
29/07/2016;24,4;30,7;27,8;83;3,424262655;4,8
30/07/2016;24,2;30,2;27;88;3,034952987;5,8
31/07/2016;24;32,2;27,9;83;2,388762789;6,8
08/01/2016;24,4;31,4;26,8;88;0;7,8
08/02/2016;25;31,1;28,2;80;1,386294361;3,1
08/03/2016;25,4;29,8;26,3;88;0;7
08/04/2016;25,4;30;27,4;81;3,117949906;0,9
08/05/2016;25,4;32,8;28,4;82;2,468099531;1,2
08/06/2016;25,6;33;28,3;84;0;3,5
08/07/2016;26;32;28,7;81;0,875468737;6,05
08/08/2016;25,8;32,4;28,9;81;0;8,6
08/09/2016;26,1;31,8;27,9;80;0;8,1
08/10/2016;25,4;32,6;28,9;80;0,405465108;8
08/11/2016;25,4;31,2;28,3;82;0;9
08/12/2016;25,2;32,4;28,5;80;0;4,4
13/08/2016;25,2;31,8;28,9;79;0;7,5
14/08/2016;25,6;29,8;26,2;87;2,509599262;4,65
15/08/2016;25,8;32;28,4;79;2,014903021;1,8
16/08/2016;26;32,6;29,2;79;0;9,1
17/08/2016;26,4;32,6;29,2;78;0;10
18/08/2016;26,5;33,2;29,2;76;0;9,2
19/08/2016;23,8;31;27,8;85;2,727852828;10,9
20/08/2016;23,8;31,6;28,7;80;1,568615918;4,1
21/08/2016;23,8;31,55;28,55;92;0;7,5
22/08/2016;23,8;31,5;28,4;82;2,844909384;0,7
23/08/2016;25,2;32,4;28,7;80;0;4
24/08/2016;24,9;29,8;27,5;85;1,481604541;2,95
25/08/2016;24,6;30,8;27,2;82;2,054123734;1,9
26/08/2016;23,6;31,8;28,3;80;2,415913778;2,1
27/08/2016;25,2;29,4;26,6;85;0;3,2
28/08/2016;24,6;32,8;28,7;79;0;0,7
29/08/2016;25,6;32,9;28,9;81;0;9,6
30/08/2016;25,6;29,6;26,2;91;0,405465108;9,2
